tooltip_id,label,object,property
"air-data-probe-stow-right","Right Air Data Probe Stow: %s","air-data-probe-stow-right","/fdm/jsbsim/systems/navigation/air-data-stow-right-switch"
"main-eng-limit-shut-dn","Main Engine Limit Shutdown: %s","main-eng-limit-shut-dn","/fdm/jsbsim/systems/mps/limit-shutdown-enable"
"oms-eng-left","LefOMS Engine Arm: %s","oms-eng-left","/fdm/jsbsim/systems/oms-hardware/engine-left-arm-cmd"
"oms-eng-right","Right OMS Engine Arm: %s","oms-eng-right","/fdm/jsbsim/systems/oms-hardware/engine-right-arm-cmd"
"air-data-probe-left","Left Air Data Probe: %s","air-data-probe-left","/fdm/jsbsim/systems/navigation/air-data-deploy-left-switch"
"air-data-probe-right","Right Air Data Probe: %s","air-data-probe-right","/fdm/jsbsim/systems/navigation/air-data-deploy-right-switch"
"button_main_eng_sd_left","Shutdown Left Main Engine","button_light_main_eng_sd_left","/controls/shuttle/button_main_eng_sd_left-ss"
"button_main_eng_sd_center","Shutdown Center Main Engine","button_light_main_eng_sd_center","/controls/shuttle/button_main_eng_sd_center-ss"
"button_main_eng_sd_right","Shutdown Right Main Engine","button_light_main_eng_sd_right","/controls/shuttle/button_main_eng_sd_right-ss"
"button-cmd-od-control-auto","Orbital DAP Control Auto","button_light_od_control_auto","/controls/shuttle/button_cmd_od_control_auto-ss"
"button-cmd-od-control-inrtl","Orbital DAP Control Inertial","button_light_od_control_inrtl","/controls/shuttle/button_cmd_od_control_inrtl-ss"
"button-cmd-od-control-lvlh","Orbital DAP Control LVLH","button_light_od_control_lvlh","/controls/shuttle/button_cmd_od_control_lvlh-ss"
"button-cmd-od-control-free","Orbital DAP Control Free","button_light_od_control_free","/controls/shuttle/button_cmd_od_control_free-ss"
"button-cmd-od-control-select-a","Orbital DAP Select A","button_light_od_select_a","/controls/shuttle/button_cmd_od_control_select_a-ss"
"button-cmd-od-control-select-b","Orbital DAP Select B","button_light_od_select_b","/controls/shuttle/button_cmd_od_control_select_b-ss"
"button-cmd-mm-xblank","Manual Mode Blank X","button-cmd-mm-xblank","/controls/shuttle/button_cmd_mm_xblank-ss"
"button-cmd-mm-lowz","Manual Mode Low Z","button_light_mm_lowz","/controls/shuttle/button_cmd_mm_lowz-ss"
"button-cmd-mm-highz","Manual Mode High Z","button_light_mm_highz","/controls/shuttle/button_cmd_mm_highz-ss"
"button-cmd-mm-x-norm","Translation X Norm","button_light_mm_x_norm","/controls/shuttle/button_cmd_mm_x_norm-ss"
"button-cmd-mm-x-pulse","Translation X Pulse","button_light_mm_x_pulse","/controls/shuttle/button_cmd_mm_x_pulse-ss"
"button-cmd-mm-y-norm","Translation Y Norm","button_light_mm_y_norm","/controls/shuttle/button_cmd_mm_y_norm-ss"
"button-cmd-mm-y-pulse","Translation Y Pulse","button_light_mm_y_pulse","/controls/shuttle/button_cmd_mm_y_pulse-ss"
"button-cmd-mm-z-norm","Translation Z Norm","button_light_mm_z_norm","/controls/shuttle/button_cmd_mm_z_norm-ss"
"button-cmd-mm-z-pulse","Translation Z Pulse","button_light_mm_z_pulse","/controls/shuttle/button_cmd_mm_z_pulse-ss"
"button-cmd-mm-pri","Rotation Primary","button_light_mm_pri","/controls/shuttle/button_cmd_mm_pri-ss"
"button-cmd-mm-alt","Rotation Alternate","button_light_mm_alt","/controls/shuttle/button_cmd_mm_alt-ss"
"button-cmd-mm-vern","Rotation Vernier","button_light_mm_vern","/controls/shuttle/button_cmd_mm_vern-ss"
